お客さん,Guest; visitor; client; customer,,,
男,Man,,,
お湯,Hot water,,,
女,Woman,,,
鍵,Lock; key,,,
火事,Fire,,,
紙,Paper,,,
給料,Salary,,,
コンタクト,Contact lenses,,,
最低,The lowest; worst,,,
サラリーマン,Salaryman; company employees,,,
残業,Overtime work,,,
首相,Prime minister,,,
ショッピングモール,Shopping mall,,,
スプーン,Spoon,,,
宝くじ,Lottery,,,
違い,Difference,,,
動物園,Zoo,,,
ニュース,News,,,
パンダ,Panda,,,
ヒーター,Heater,,,
ひげ,Beard,,,
秘密,Secret,,,
ブーツ,Boots,,,
寮,Dormitory,,,
旅行会社,Travel agency,,,
危ない,Dangerous,,,
羨ましい,Envious,,,
少ない,A little; a few,,,
強い,Strong,,,
選ぶ,To choose; to select,,,
お湯を沸かす,To boil water,,,
髪をとかす,To comb one's hair,,,
込む,To get crowded,,,
宝くじに当たる,To win a lottery,,,
脱ぐ,To take off (clothes),,,
ひげをそる,To shave one's beard,,,
入れる,To make tea/coffee/etc,,,
生まれる,To be born,,,
鍵をかける,To lock,,,
足りる,To be sufficient; to be enough,,,
慣れる,To get used to,,,
お祈りする,To pray,,,
化粧する,To put makeup on,,,
就職する,To get a full-time job,,,
する,To wear small items (necktie/watch/etc),,,
離婚する,To get a divorce,,,
おめでとうございます,Congratulations!,,,
かなあ,I wonder... (casual),,,
自分,Oneself,,,
ずいぶん,Very,,,
そうか,I see (casual),,,
それに,Moreover...,,,
例えば,For example,,,
に比べて,Compared with...,,,
によると,According to...,,,
前,Before...,,,
やっぱり,After all,,,
